,Constituency,Leading Candidate,Leading Party,Margin,Trailing Candidate,Trailing Party
0,ADARSH NAGAR,PAWAN SHARMA,Aam Aadmi Party,1589,RAJ KUMAR BHATIA,Aam Aadmi Party
1,AMBEDKAR NAGAR(SC),AJAY DUTT,Aam Aadmi Party,28327,KHUSHIRAM CHUNAR,Aam Aadmi Party
2,BABARPUR,GOPAL RAI,Aam Aadmi Party,33062,NARESH GAUR,Aam Aadmi Party
3,BADARPUR,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,3719,RAM SINGH NETAJI,Bharatiya Janata Party
4,BADLI,AJESH YADAV,Aam Aadmi Party,29123,VIJAY KUMAR BHAGAT,Aam Aadmi Party
5,BALLIMARAN,IMRAN HUSSAIN,Aam Aadmi Party,36172,LATA,Aam Aadmi Party
6,BAWANA(SC),JAI BHAGWAN,Aam Aadmi Party,11526,RAVINDER KUMAR,Aam Aadmi Party
7,BIJWASAN,BHUPINDER SINGH JOON,Aam Aadmi Party,753,SAT PRAKASH RANA,Aam Aadmi Party
8,BURARI,SANJEEV JHA,Aam Aadmi Party,88158,SHAILENDRA KUMAR,Aam Aadmi Party
9,CHANDNI CHOWK,PARLAD SINGH SAWHNEY,Aam Aadmi Party,29584,SUMAN KUMAR GUPTA,Aam Aadmi Party
10,CHHATARPUR,KARTAR SINGH TANWAR,Aam Aadmi Party,3720,BRAHM SINGH TANWAR,Aam Aadmi Party
11,DELHI CANTT,Virender Singh Kadian,Aam Aadmi Party,10590,Manish Singh,Aam Aadmi Party
12,DEOLI(SC),PRAKASH @ PRAKASH JARWAL,Aam Aadmi Party,40173,ARVIND KUMAR,Aam Aadmi Party
13,DWARKA,VINAY MISHRA,Aam Aadmi Party,14387,PARDUYMN RAJPUT,Aam Aadmi Party
14,GANDHI NAGAR,ANIL KUMAR BAJPAI,Bharatiya Janata Party,6079,NAVEEN CHAUDHARY,Bharatiya Janata Party
15,GHONDA,AJAY MAHAWAR,Bharatiya Janata Party,28370,SHRIDUTT SHARMA,Bharatiya Janata Party
16,GOKALPUR(SC),SURENDRA KUMAR,Aam Aadmi Party,19488,RANJEET SINGH,Aam Aadmi Party
17,GREATER KAILASH,SAURABH BHARADWAJ,Aam Aadmi Party,16809,SHIKHA ROY,Aam Aadmi Party
18,HARI NAGAR,RAJ KUMARI DHILLON,Aam Aadmi Party,20131,TAJINDER PAL SINGH BAGGA,Aam Aadmi Party
19,JANAKPURI,RAJESH RISHI,Aam Aadmi Party,14917,ASHISH SOOD,Aam Aadmi Party
20,JANGPURA,PRAVEEN KUMAR,Aam Aadmi Party,16063,IMPREET SINGH BAKSHI,Aam Aadmi Party
21,KALKAJI,ATISHI,Aam Aadmi Party,11393,DHARAMBIR SINGH,Aam Aadmi Party
22,KARAWAL NAGAR,MOHAN SINGH BISHT,Bharatiya Janata Party,8223,DURGESH PATHAK,Bharatiya Janata Party
23,KAROL BAGH(SC),VISHESH RAVI,Aam Aadmi Party,31760,YOGENDER CHANDOLIYA,Aam Aadmi Party
24,KASTURBA NAGAR,MADAN LAL,Aam Aadmi Party,3165,RAVINDER CHOUDHRY,Aam Aadmi Party
25,KIRARI,RITURAJ GOVIND,Aam Aadmi Party,5654,ANIL JHA,Aam Aadmi Party
26,KONDLI(SC),KULDEEP KUMAR,Aam Aadmi Party,17907,RAJ KUMAR,Aam Aadmi Party
27,KRISHNA NAGAR,S. K. Bagga (Advocate),Aam Aadmi Party,3995,Dr. Anil Goyal,Aam Aadmi Party
28,LAXMI NAGAR,ABHAY VERMA,Bharatiya Janata Party,880,NITIN TYAGI,Bharatiya Janata Party
29,MADIPUR(SC),Girish Soni,Aam Aadmi Party,22719,Kailash Sankla,Aam Aadmi Party
30,MALVIYA NAGAR,SOMNATH BHARTI,Aam Aadmi Party,18144,SHAILENDER SINGH,Aam Aadmi Party
31,MANGOL PURI(SC),RAKHI BIRLA,Aam Aadmi Party,30116,KARAM SINGH KARMA,Aam Aadmi Party
32,MATIA MAHAL,SHOAIB IQBAL,Aam Aadmi Party,50241,RAVINDER GUPTA,Aam Aadmi Party
33,MATIALA,GULAB SINGH,Aam Aadmi Party,28075,RAJESH GAHLOT,Aam Aadmi Party
34,MEHRAULI,NARESH YADAV,Aam Aadmi Party,18161,KUSUM KHATRI,Aam Aadmi Party
35,MODEL TOWN,AKHILESH PATI TRIPATHI,Aam Aadmi Party,11133,KAPIL MISHRA,Aam Aadmi Party
36,MOTI NAGAR,SHIV CHARAN GOEL,Aam Aadmi Party,14072,SUBHASH SACHDEVA,Aam Aadmi Party
37,MUNDKA,DHARAMPAL LAKRA,Aam Aadmi Party,19158,AZAD SINGH,Aam Aadmi Party
38,MUSTAFABAD,HAJI YUNUS,Aam Aadmi Party,20704,JAGDISH PRADHAN,Aam Aadmi Party
39,NAJAFGARH,KAILASH GAHLOT,Aam Aadmi Party,6231,AJEET SINGH KHARKHARI,Aam Aadmi Party
40,NANGLOI JAT,RAGHUVINDER SHOKEEN,Aam Aadmi Party,11624,SUMAN LATA,Aam Aadmi Party
41,NARELA,SHARAD KUMAR,Aam Aadmi Party,17429,NEEL DAMAN KHATRI,Aam Aadmi Party
42,NEW DELHI,ARVIND KEJRIWAL,Aam Aadmi Party,21697,SUNIL KUMAR YADAV,Aam Aadmi Party
43,OKHLA,AMANATULLAH KHAN,Aam Aadmi Party,71827,BRAHAM SINGH,Aam Aadmi Party
44,PALAM,BHAVNA GAUR,Aam Aadmi Party,32765,VIJAY PANDIT,Aam Aadmi Party
45,PATEL NAGAR(SC),RAAJ KUMAR ANAND,Aam Aadmi Party,30935,PRAVESH RATN,Aam Aadmi Party
